# Height Age
1.24 8
1.30 17
1.15 8
1.51 19
1.44 17
0.62 1
0.88 7
1.03 6
0.64 2
1.27 14
0.62 1
0.52 0
1.22 11
0.82 6
1.67 14
1.28 10
1.29 11
1.63 14
0.84 6
1.30 9
1.19 6
1.67 14
0.80 7
0.79 3
0.69 1
0.67 2
0.86 8
1.36 8
0.85 3
1.63 12
0.52 0
1.00 5
0.96 7
1.34 16
0.93 6
1.50 9
0.74 2
0.72 4
1.06 6
0.52 0
1.05 12
0.67 4
1.36 9
0.65 4
1.18 11
1.23 17
1.28 7
0.75 6
0.64 2
0.69 1
0.64 2
1.67 15
1.23 12
1.62 20
1.49 11
0.94 7
0.58 1
1.18 9
1.66 20
1.02 6
0.61 2
1.00 8
1.43 20
1.69 17
0.88 7
1.46 9
1.18 7
1.05 9
1.33 10
1.24 13
1.49 17
1.57 19
1.16 11
1.01 10
1.18 11
1.54 16
0.82 7
1.43 12
0.88 5
0.66 2
1.13 10
1.06 9
1.13 7
1.32 11
0.75 3
1.03 7
0.94 8
0.55 1
0.62 2
1.13 9
1.61 17
1.39 11
0.60 0
0.51 0
0.57 2
0.63 2
1.20 11
1.30 9
0.59 1
1.45 14
