# Height Weight Age
1.30 20.8 8
0.64 15.3 5
1.49 56.9 15
0.96 20.2 10
1.67 90.6 28
0.66 13.4 3
1.36 27.5 12
0.75 9.9 3
1.02 36.9 11
0.62 3.8 1
1.06 24.7 7
1.18 40.0 11
1.29 27.9 8
1.15 26.0 12
1.13 38.0 7
1.27 27.5 8
1.18 57.8 20
1.18 42.8 15
1.63 51.3 17
0.72 10.3 5
1.66 64.0 8
0.65 8.3 2
0.69 12.4 4
1.23 36.5 9
1.62 24.6 10
0.55 2.2 0
0.61 7.7 2
1.69 24.2 19
1.61 45.8 15
1.22 43.8 8
1.46 36.0 6
1.67 47.3 14
1.49 51.8 15
0.88 15.1 3
1.18 34.2 7
1.00 16.1 7
0.80 19.8 5
0.94 14.6 4
0.67 11.8 1
1.36 63.6 11
1.23 40.4 12
0.67 12.5 4
0.93 21.9 5
0.52 5.1 0
1.43 44.9 13
0.88 11.4 3
0.74 16.6 5
0.57 4.6 1
1.45 64.2 23
0.52 3.6 0
0.79 12.5 4
1.63 64.7 20
1.05 21.4 5
1.44 42.5 7
1.54 27.6 12
0.60 7.0 2
0.52 5.3 1
0.64 5.6 3
1.28 38.9 13
0.85 33.7 10
0.62 4.1 2
0.86 13.1 5
1.28 67.2 19
0.82 19.5 4
1.51 39.1 8
1.06 25.7 5
0.84 19.2 6
1.24 46.7 12
1.32 33.4 10
1.24 48.0 15
0.59 6.8 1
1.01 18.2 2
1.13 21.7 7
0.94 31.1 7
1.00 33.1 9
0.64 15.5 4
0.82 8.3 3
1.03 34.9 10
0.58 6.1 1
1.30 34.5 12
0.63 6.9 1
1.33 23.0 6
0.62 12.7 2
0.51 0.8 0
1.05 19.2 7
1.19 31.1 9
1.20 47.8 16
1.43 37.6 11
1.03 34.5 8
1.13 26.0 3
1.39 50.4 17
1.34 34.9 12
0.69 7.9 2
0.75 10.4 3
1.16 20.6 7
1.57 34.7 10
1.30 42.6 14
0.88 19.8 8
1.67 66.6 20
1.50 60.3 21
