# Height Teenager/Adult)
1.38 0
1.24 0
1.30 0
1.42 0
1.39 0
1.10 0
1.30 0
1.18 0
1.19 0
1.24 0
1.21 0
1.35 0
1.28 0
1.21 0
1.24 0
1.23 0
1.35 0
1.18 0
1.23 0
1.11 0
0.94 0
1.27 0
1.29 0
1.13 0
1.43 0
1.05 0
1.20 0
1.18 0
1.35 0
1.35 0
1.22 0
1.24 0
1.11 0
1.00 0
1.17 0
1.22 0
1.32 0
1.32 0
1.16 0
1.17 0
1.10 0
1.06 0
1.03 0
1.40 0
1.15 0
1.16 0
1.07 0
1.28 0
1.04 0
1.18 0
1.11 0
1.24 0
1.15 0
1.08 0
1.20 0
1.24 0
1.21 0
1.23 0
1.14 0
1.16 0
1.13 0
1.16 0
1.12 0
1.03 0
1.22 0
1.16 0
1.04 0
1.25 0
1.11 0
1.21 0
1.27 0
1.21 0
1.31 0
1.08 0
1.24 0
1.13 0
1.11 0
1.14 0
1.17 0
1.21 0
1.08 0
1.29 0
1.25 0
1.05 0
1.35 0
1.39 0
1.32 0
1.18 0
1.09 0
1.31 0
1.16 0
1.32 0
1.22 0
1.30 0
1.24 0
1.27 0
1.20 0
1.38 0
1.21 0
1.24 0
1.98 1
1.33 1
1.35 1
1.79 1
1.37 1
1.99 1
1.52 1
1.45 1
1.98 1
1.90 1
1.97 1
1.78 1
1.43 1
1.98 1
1.55 1
1.76 1
1.79 1
1.57 1
1.72 1
1.78 1
1.68 1
1.38 1
1.66 1
1.87 1
1.46 1
1.57 1
1.51 1
1.97 1
1.73 1
1.68 1
1.45 1
1.71 1
1.47 1
1.61 1
1.47 1
1.74 1
1.72 1
1.56 1
1.68 1
1.38 1
1.30 1
1.69 1
1.63 1
1.73 1
2.08 1
1.79 1
1.42 1
1.82 1
1.34 1
1.51 1
1.59 1
1.94 1
1.45 1
1.43 1
1.58 1
1.47 1
1.83 1
1.38 1
1.37 1
1.51 1
1.50 1
1.99 1
1.79 1
1.62 1
1.35 1
1.77 1
1.40 1
1.29 1
1.84 1
1.66 1
1.78 1
1.66 1
1.77 1
1.47 1
1.39 1
1.74 1
1.44 1
1.46 1
1.51 1
1.60 1
1.53 1
1.33 1
1.47 1
1.16 1
1.73 1
1.28 1
1.38 1
1.61 1
1.45 1
1.91 1
1.34 1
1.65 1
1.59 1
1.37 1
1.70 1
1.57 1
1.75 1
1.76 1
2.03 1
1.87 1
