# x1 x2 target
0.81 -0.31 0
-0.26 -0.54 0
0.43 -1.15 0
0.87 -0.38 0
0.16 -0.12 0
0.73 -1.03 0
-0.16 -0.19 0
0.57 -0.55 0
-0.09 -0.44 0
0.02 0.29 0
-0.55 0.57 0
0.45 0.25 0
0.45 -0.34 0
-0.06 -0.47 0
-0.13 0.27 0
-0.35 -0.20 0
-0.34 -0.42 0
-0.34 -0.01 0
-0.56 0.12 0
0.83 0.37 0
-0.10 -0.44 0
-0.37 0.85 0
0.03 -0.32 0
0.10 1.05 0
0.06 0.31 0
1.50 1.50 0
1.70 1.60 0
1.40 1.65 0
0.42 0.47 0
0.14 0.44 0
-0.38 0.63 0
0.26 -0.15 0
0.24 -0.04 0
0.57 0.76 0
1.09 -0.70 0
-0.72 -0.25 0
0.08 0.44 0
0.16 -1.01 0
-0.15 0.41 0
0.12 0.38 0
-0.11 -0.10 0
0.09 0.21 0
0.10 0.06 0
-0.34 0.19 0
0.06 0.56 0
0.60 0.09 0
-0.19 -0.32 0
0.21 0.04 0
-0.17 0.02 0
-0.31 0.35 0
0.78 1.61 1
1.20 1.30 1
0.45 1.08 1
1.37 0.52 1
0.87 1.02 1
0.31 1.16 1
1.42 0.57 1
1.18 0.34 1
0.98 0.19 1
1.56 1.20 1
0.99 0.61 1
1.64 1.98 1
0.07 1.62 1
1.81 1.17 1
0.40 1.43 1
0.91 0.70 1
0.38 1.28 1
1.40 0.69 1
1.26 0.43 1
1.40 1.02 1
0.91 0.95 1
1.43 1.38 1
1.26 1.07 1
1.04 1.31 1
1.12 1.34 1
0.84 -0.22 1
1.52 2.09 1
1.22 0.95 1
0.93 0.94 1
1.01 0.44 1
0.74 0.50 1
1.12 0.85 1
1.25 0.91 1
1.49 1.11 1
2.10 0.05 1
0.68 1.45 1
2.26 0.88 1
1.02 0.89 1
1.67 0.86 1
1.34 0.84 1
0.36 1.16 1
1.25 1.65 1
0.94 0.69 1
1.28 1.12 1
1.14 0.96 1
1.58 1.18 1
1.95 1.56 1
1.33 0.19 1
1.30 1.21 1
1.41 1.52 1
