# x1 x2 target
1.18 0.04 0
1.10 0.29 0
1.18 0.03 0
1.08 0.18 0
0.96 0.29 0
0.96 0.46 0
1.00 0.39 0
0.95 0.47 0
1.02 0.47 0
0.87 0.46 0
0.55 0.66 0
0.85 0.57 0
0.95 0.55 0
0.68 0.72 0
0.78 0.93 0
0.59 0.86 0
0.43 0.66 0
0.43 0.90 0
0.53 1.03 0
0.31 0.91 0
0.18 0.82 0
0.05 1.17 0
0.11 0.94 0
-0.03 1.07 0
-0.13 0.98 0
-0.12 1.04 0
-0.15 0.88 0
-0.16 1.03 0
-0.22 1.01 0
-0.35 0.92 0
-0.41 0.90 0
-0.49 0.74 0
-0.44 0.85 0
-0.68 0.90 0
-0.66 0.83 0
-0.55 0.79 0
-0.56 0.62 0
-0.68 0.63 0
-0.85 0.59 0
-0.83 0.60 0
-0.95 0.64 0
-0.82 0.34 0
-0.75 0.62 0
-0.81 0.36 0
-1.06 0.42 0
-1.01 0.38 0
-0.96 0.29 0
-0.96 0.20 0
-1.00 0.24 0
-0.99 0.04 0
0.19 0.37 1
-0.12 0.53 1
-0.11 0.57 1
-0.02 0.23 1
0.22 0.39 1
0.24 0.28 1
-0.01 0.32 1
0.07 0.15 1
0.22 -0.01 1
0.22 0.05 1
0.24 -0.21 1
0.27 -0.02 1
0.21 -0.21 1
0.28 -0.06 1
0.44 -0.24 1
0.35 -0.27 1
0.41 -0.35 1
0.47 -0.32 1
0.65 -0.44 1
0.69 -0.55 1
0.57 -0.41 1
0.79 -0.41 1
1.08 -0.39 1
0.81 -0.38 1
0.84 -0.55 1
1.03 -0.33 1
1.02 -0.58 1
1.15 -0.55 1
1.34 -0.58 1
1.17 -0.50 1
1.30 -0.25 1
1.50 -0.41 1
1.34 -0.30 1
1.42 -0.51 1
1.69 -0.29 1
1.72 -0.25 1
1.76 -0.31 1
1.61 -0.13 1
1.68 -0.22 1
1.76 -0.10 1
1.80 -0.18 1
1.81 -0.21 1
1.96 -0.09 1
1.82 0.13 1
1.88 0.34 1
1.84 0.27 1
1.98 0.19 1
2.04 0.35 1
2.08 0.52 1
2.22 0.63 1
